Nome da ferramenta,País de origem,Preparação da ficha técnica detalhada,Instituição Responsável,Finalidade da Ferramenta,Momento de atividade produtiva,Taxonomia de ferramentas (principal),Canais de acesso à informação,Tipologia dos Canais de Comunicação,Público-alvo principal,Âmbito de aplicação,Modelo de Acesso,Dimensão de interação,Natureza Institucional,Categoria da organização,Idioma de disponibilidade,Integração com o WhatsApp,Conectividade necessária,Nível de digitalização,Nível de abertura da ferramenta,Link,Descrição (resumo)
Colheitadeiras,Argentina,Não,Universidade Nacional de Córdoba,Orientação Técnica,Durante,"Meteorologia, Clima e Irrigação",Aplicativo ,Não aplicável,Produtor,Em geral,Gratuito,Produtor ↔ Conteúdo/Plataforma,Público,Universidade,Espanhol,Não,Sim,Digitalização,Acessível a terceiros,https://play.google.com/store/apps/details?id=ar.edu.unc.cosecheros,"""Cosecheros"" é um aplicativo móvel para celulares Android que permite o monitoramento, a notificação e o mapeamento dos impactos de eventos climáticos extremos na atividade agrícola, bem como eventos de deriva de agrotóxicos."
Fertilizante Campero,Argentina,Não,Esteban Regueira,Orientação Técnica,Antes ,"Fertilizantes, inoculantes e nutrientes",Aplicativo,Meios de comunicação de massa,Extensionista,Em geral,Gratuito,Extensionista ↔ Conteúdo/Plataforma,Público,Ministério / Governo Federal,Espanhol,Não,Não,Transformação Digital,Acessível a terceiros,https://play.google.com/store/apps/details?id=com.inta.camperofertilizadoras,"Este aplicativo foi desenvolvido para ajustar a aplicação de produtos de pulverização, como fertilizantes e corretivos de solo. A ferramenta permite que os usuários calculem dosagens, estimem a largura de trabalho do equipamento e avaliem a uniformidade da distribuição. Ela também calcula a quantidade de produto necessária para tratar uma área específica e gera relatórios com os resultados, que são armazenados no dispositivo."
Mapa de complexidades,Bolívia,Sim,Banco de Desenvolvimento Produtivo (BDP),Orientação Técnica,Durante,"Conteúdo, Educação e Redes Sociais",Painéis de monitoramento (Dashboards),Meios de comunicação de massa,Extensionista,Em geral,Gratuito,Extensionista ↔ Conteúdo/Plataforma,Público,Agência de Desenvolvimento,Espanhol,Não,Sim,Digitalização,Acessível a terceiros,https://complejidades.bdp.com.bo/,"Trata-se de uma ferramenta de diagnóstico que auxilia na tomada de decisões para o desenvolvimento local, oferecendo informações territoriais sobre atividade produtiva, desempenho e comercialização, além de identificar setores com potencial de crescimento."
Biblioteca de mídia,Bolívia,Sim,INIAF,Aprendizado,Durante,"Conteúdo, Educação e Redes Sociais",Site,Meios de comunicação de massa,Produtor,Em geral,Gratuito,Produtor ↔ Conteúdo/Plataforma,Público,Empresa de Pesquisa Pública,Espanhol,Não,Sim,Digitalização,Acessível a terceiros,https://iniaf.gob.bo/biblioteca-de-medios/,"Um repositório digital que reúne publicações técnicas, manuais, relatórios e materiais sobre inovação agrícola para apoiar a produção, a pesquisa e a extensão rural na Bolívia."
Biblioteca Virtual,Bolívia,Sim,PROINPA,Aprendizado,Durante,"Conteúdo, Educação e Redes Sociais",Site,Meios de comunicação de massa,Produtor,Em geral,Gratuito,Produtor ↔ Conteúdo/Plataforma,Sociedade Civil Organizada,ONG / OSC,Espanhol,Não,Sim,Digitalização,Acessível a terceiros,https://www.proinpa.org/web/biblioteca-virtual/,"Trata-se de um repositório digital de conhecimento sobre a agrobiodiversidade andina, que reúne materiais técnicos e educativos sobre bioinsumos, grãos e cereais, hortaliças e leguminosas, batatas, árvores frutíferas, quinoa, raízes e tubérculos andinos, além de receitas e conteúdo para a produção sustentável e a valorização do conhecimento local."
Miido,Chile,Sim,Estou com medo., Gerenciamento,Durante,Monitoramento e gerenciamento integrados da produção,Aplicativo ,Não aplicável,Ambos,Em geral,Freemium,Extensionista ↔ Conteúdo/Plataforma,Privado,Comece,Espanhol,Sim,Sim,Transformação Digital,Acessível a terceiros,https://miido.ai/,"A MIIDO utiliza tecnologia avançada de reconhecimento de voz para converter mensagens de áudio do WhatsApp em texto. Nosso sistema processa esse texto para extrair informações relevantes e organizá-las em tarefas, registros e consultas."
INIA Educa,Chile,Sim,ÍNDIA,Aprendizado,Durante,"Conteúdo, Educação e Redes Sociais",Plataformas de e-learning,Meios de comunicação de massa,Ambos,Em geral,Gratuito,Produtor ↔ Conteúdo/Plataforma,Público,Empresa de Pesquisa Pública,Espanhol,Não,Sim,Digitalização,Acessível a terceiros,https://iniaeduca.cl/,"A INIA Educa SpA é uma empresa pertencente ao Instituto de Pesquisa Agrícola INIA, dedicada a ministrar cursos especializados para profissionais, técnicos e agricultores. Seu objetivo é fornecer serviços de treinamento, oferecendo uma gama de cursos estáveis ​​e estando disponível para organizar cursos, workshops e diplomas."
Biblioteca Digital INIA,Chile,Sim,ÍNDIA,Aprendizado,Durante,"Conteúdo, Educação e Redes Sociais",Site,Meios de comunicação de massa,Ambos,Em geral,Gratuito,Produtor ↔ Conteúdo/Plataforma,Público,Empresa de Pesquisa Pública,Espanhol,Não,Sim,Digitação,Acessível a terceiros,https://biblioteca.inia.cl/home,"Oferece mais de 5.000 publicações em formato digital, incluindo livros, boletins informativos, fichas informativas, fichas técnicas, vídeos e podcasts, todos sobre temas agrícolas do país."
Smartfield 360,Chile,Sim,ÍNDIA,Orientação Técnica,Durante,"Conteúdo, Educação e Redes Sociais",Ambientes de Realidade Virtual/Aumentada,Meios de comunicação de massa,Ambos,Em geral,Gratuito,Produtor ↔ Conteúdo/Plataforma,Público,Empresa de Pesquisa Pública,Espanhol,Não,Sim,Transformação Digital,Acessível a terceiros,https://www.smartfieldinia.cl/,"Plataforma de realidade virtual dos campos de Los Tilos e Santa Rosa, com demonstração da tecnologia."
Campus,Chile,Sim,ÍNDIA,Orientação Técnica,Durante,"Conteúdo, Educação e Redes Sociais",Site,Meios de comunicação de massa,Ambos,Em geral,Gratuito,Produtor ↔ Conteúdo/Plataforma,Público,Empresa de Pesquisa Pública,Espanhol,Não,Sim,Digitalização,Acessível a terceiros,https://smartfieldinia.cl/campusinia/,Treinamento virtual em tecnologias agrícolas para aprimorar práticas e adoção de tecnologia.
Sistema de Alerta Precoce para Requeima,Chile,Não,ÍNDIA,Orientação Técnica,Durante,"Meteorologia, Clima e Irrigação",Site,Meios de comunicação de massa,Ambos,Específico (batata),Gratuito,Produtor ↔ Conteúdo/Plataforma,Público,Empresa de Pesquisa Pública,Espanhol,Não,Sim,Digitalização,Acessível a terceiros,https://tizon.inia.cl/,Ferramenta tecnológica que utiliza dados meteorológicos e epidemiológicos para prever condições favoráveis ​​ao desenvolvimento da doença (requeima).
Agrapp,Chile,Sim,Agrapp, Gerenciamento,Durante,Monitoramento e gerenciamento integrados da produção,Aplicativo ,Interpessoal,Produtor,Em geral,Pagar,Produtor ↔ Conteúdo/Plataforma,Privado,Comece,Espanhol,Sim,Não,Transformação Digital,Acessível a terceiros,https://www.agrapp.cl/,"É um caderno de campo digital que permite registrar informações no campo, trabalhar offline e gerar relatórios de forma simples e eficiente para a gestão agrícola."
AgroMatch,Chile,Sim,AgroMatch, Gerenciamento,Antes ,Economia compartilhada,Site,Interpessoal,Produtor,Em geral,Pagar,Produtor ↔ Produtor,Privado,Comece,Espanhol,Não,Sim,Digitalização,Acessível a terceiros,https://agromatch.cl/,A AgroMatch é uma plataforma que conecta proprietários de máquinas ou serviços com agricultores que desejam alugar essas máquinas ou serviços.
AGRI,Chile,Sim,Soluções em Nuvem TCIT, Gerenciamento,Durante,Monitoramento e gerenciamento integrados da produção,Site,Interpessoal,Produtor,Em geral,Pagar,Produtor ↔ Conteúdo/Plataforma,Privado,Comece,Espanhol,Não,Sim,Digitalização,Acessível a terceiros,https://www.agri.cl/,"Uma plataforma de gestão que unifica os processos administrativos e de produção de empresas agrícolas. Seus principais módulos incluem controle de custos e orçamento, gestão de tarefas e colheitas, compras e gestão de estoque."
Agrosmart,Chile,Sim,Agrosmart, Gerenciamento,Durante,Monitoramento e gerenciamento integrados da produção,Site,Interpessoal,Produtor,Em geral,Pagar,Produtor ↔ Conteúdo/Plataforma,Privado,Comece,Espanhol,Não,Sim,Digitalização,Acessível a terceiros,https://agrosmart.cl/,"Uma plataforma de gestão agrícola em regime de software como serviço (SaaS) e um caderno de campo inteligente, concebidos a partir da perspetiva do agricultor. Abrange as áreas administrativa, produtiva, operacional e financeira, com o objetivo de aumentar a eficiência e a competitividade."
Você come,Chile,Sim,Você come,Comercialização,Depois,Plataformas de loja online (e-commerce) e marketplace,Site,Interpessoal,Produtor,Em geral,Pagamento (com comissão),Produtor ↔ Conteúdo/Plataforma,Privado,Comece,Espanhol,Não,Sim,Digitalização,Acessível a terceiros,https://www.comes.cl/,"O projeto busca promover um sistema alimentar mais sustentável, conectando produtores locais com varejistas de alimentos."
Especificações técnicas,Chile,Não,INDAP,Orientação Técnica,Durante,"Conteúdo, Educação e Redes Sociais",Site,Meios de comunicação de massa,Produtor,Em geral,Gratuito,Produtor ↔ Conteúdo/Plataforma,Público,Empresa ATER / Serviço Público de Extensão,Espanhol,Não,Sim,Digitalização,Acessível a terceiros,https://www.indap.gob.cl/fichas-tecnicas,"Materiais de apoio online para agricultura familiar em pequena escala, compilando informações técnicas padronizadas por região e cultura. Disponíveis para visualização e download em formato Excel, as fichas técnicas apresentam diretrizes de produção, insumos, práticas de manejo e referências técnicas para diversos setores agrícolas."
Agriconecta (Panamá),Internacional,Não,Grupo Comercial Tri-Star SA,Comercialização,Depois,Plataformas de loja online (e-commerce) e marketplace,Aplicativo,Meios de comunicação de massa,Produtor,Em geral,Gratuito,Produtor ↔ Conteúdo/Plataforma,Privado,Setor Privado,Espanhol,Não,Sim,Digitalização,Acessível a terceiros,https://play.google.com/store/apps/details?id=com.agriconecta.agcta_smallholder_farmer; https://apps.apple.com/us/app/agriconecta/id1514667580,"AgriConecta é um aplicativo gratuito que permite aos agricultores manterem-se conectados à agricultura moderna. Através da plataforma, eles podem manter contato direto com seus técnicos e acessar facilmente informações dentro do aplicativo, além de visualizar dados meteorológicos para melhor proteger e planejar seu trabalho."
Agrimaps (Espanhol),Internacional,Não,"Infonet Consultores de Informática SL

",Orientação Técnica,Durante,Monitoramento e gerenciamento integrados da produção,Aplicativo,Meios de comunicação de massa,Produtor,Em geral,Pagar,Produtor ↔ Conteúdo/Plataforma,Privado,Setor Privado,Espanhol,Não,Sim,Transformação Digital,Acessível a terceiros,"https://agrimaps.es/
https://play.google.com/store/apps/details?id=com.infonetconsultores.agrimapscross; https://apps.apple.com/us/app/agrimaps/id1671973281","Um caderno de campo visual, fácil e ágil, baseado no registro de tratamentos e operações técnicas, permitindo a geolocalização de incidentes, o controle e monitoramento de pragas, o acompanhamento dos estágios fenológicos das culturas, o monitoramento de operações técnicas, o estudo de mapas e o recebimento de alertas de Alternaria, auxiliando em uma gestão agrícola mais eficiente."
Biofertilização (Colômbia),Internacional,Não,Corporação Colombiana de Pesquisa Agropecuária Agrosavia,Aprendizado,Durante,"Conteúdo, Educação e Redes Sociais",Aplicativo,Meios de comunicação de massa,Produtor,Em geral,Gratuito,Produtor ↔ Conteúdo/Plataforma,Público,Ministério / Governo Federal,Espanhol,Não,Sim,Digitalização,Acessível a terceiros,https://play.google.com/store/apps/details?id=com.mifinca,"Biofertilização é um jogo que permite aos jogadores aprender conceitos básicos sobre bioinsumos e biofertilizantes em particular, no contexto da agricultura sustentável adaptada às mudanças climáticas. Embora seja destinado a todas as idades, é especialmente voltado para jovens em comunidades rurais. O objetivo central é alcançar uma melhor produção agrícola no campo de cada jogador, resolvendo desafios educativos. A missão integra a obtenção de recompensas, a aquisição de recursos de diferentes valores, estratégias de produtividade, prevenção e combate a ameaças, tomada de decisões, colaboração e cuidados com o campo."
Caderno de campo agrícola - Agricolum (Espanhol),Internacional,Não,Agroculum SL., Gerenciamento,Durante,Monitoramento e gerenciamento integrados da produção,Aplicativo,Meios de comunicação de massa,Produtor,Em geral,Freemium,Produtor ↔ Conteúdo/Plataforma,Privado,Setor Privado,Espanhol,Não,Não,Transformação Digital,Acessível a terceiros,https://play.google.com/store/apps/details?id=com.agricolum,"Agricolum é uma ferramenta digital focada no registro e organização de atividades agrícolas. Permite aos usuários acompanhar operações de campo, como práticas de manejo, aplicações e tarefas de produção, auxiliando no controle técnico e na gestão da propriedade. A ferramenta visa facilitar o acompanhamento das informações de trabalho de forma prática."
Syngenta Agrimecum (Suíça),Internacional,Não,"Syngenta Crop Protection AG
",Orientação Técnica,Antes ,"Manejo e Controle de Pragas (Biológico, Natural e Químico)",Aplicativo,Meios de comunicação de massa,Produtor,Em geral,Gratuito,Produtor ↔ Conteúdo/Plataforma,Privado,Setor Privado,Espanhol,Não,Sim,Digitalização,Acessível a terceiros,https://play.google.com/store/apps/details?id=com.catalogo.syngenta,"Este aplicativo reúne informações técnicas sobre o portfólio de produtos da empresa, incluindo inseticidas, herbicidas, fungicidas e tratamentos de sementes. Apresenta características gerais dos produtos, orientações de uso, instruções para o controle de pragas e plantas nocivas, além de informações sobre sistemas de dosagem, servindo como material de referência técnica."
ABC Rural,Paraguai,Sim,Associação Rural do Paraguai (ARP),Aprendizado,Durante,"Conteúdo, Educação e Redes Sociais",Site,Meios de comunicação de massa,Produtor,Em geral,Gratuito,Produtor ↔ Conteúdo/Plataforma,Sociedade Civil Organizada,Associação,Espanhol,Não,Sim,Digitalização,Acessível a terceiros,https://www.youtube.com/@ABCRURALPARAGUAY,"Canal de comunicação agrícola vinculado à Associação Rural do Paraguai, dedicado à divulgação de informações, notícias e conteúdo técnico voltados para o setor rural paraguaio."
Agroayuda,Paraguai,Sim,MAG,Comercialização,Depois,Plataformas de loja online (e-commerce) e marketplace,Aplicativo,Meios de comunicação de massa,Produtor,Em geral,Gratuito,Produtor ↔ Conteúdo/Plataforma,Público,Ministério / Governo Federal,Espanhol,Não,Sim,Digitalização,Acessível a terceiros,https://iica.int/es/noticias/innovacion-digital-traves-de-plataforma-movil-sera-implementada-para-comercializar/,"Agroayuda é uma plataforma digital móvel de assistência técnica e apoio à comercialização agrícola que fornece aos produtores informações técnicas, preços de mercado, oportunidades de compras públicas e orientações de produção. A ferramenta facilita o acesso a aconselhamento especializado à distância, fortalece a tomada de decisões no campo e ajuda a melhorar a colaboração entre produtores, mercados e instituições."
Registro de Agricultura Familiar Assistida - RAFA,Paraguai,Sim,Plataforma Deag, Gerenciamento,Antes ,"Gestão institucional do registo, monitorização e cadastro do ATER",Site,Não aplicável,Extensionista,Em geral,Não aplicável,Extensionista ↔ Conteúdo/Plataforma,Público,Ministério / Governo Federal,Espanhol,Não,Sim,Digitação,Uso interno (institucional), deag.mag.gov.py,"Permite o cadastro de produtores e famílias rurais, a coleta de dados socioeconômicos, localização geográfica, uso da terra, produção, infraestrutura, serviços básicos e o monitoramento de ações de assistência técnica e extensão rural, apoiando o planejamento, o monitoramento e a formulação de políticas públicas."
Visita à fazenda,Paraguai,Não,Plataforma Deag,Orientação Técnica,Antes ,"Gestão institucional do registo, monitorização e cadastro do ATER",Site,Não aplicável,Extensionista,Em geral,Não aplicável,Extensionista ↔ Conteúdo/Plataforma,Público,Ministério / Governo Federal,Espanhol,Não,Sim,Digitação,Uso interno (institucional), deag.mag.gov.py,"Esta ferramenta digital é utilizada por técnicos de extensão rural para registrar informações detalhadas durante visitas às propriedades rurais sobre os produtores e suas famílias, posse e uso da terra, produção agrícola, infraestrutura, serviços básicos, insumos, mão de obra, acesso a crédito e assistência técnica. Ela apoia o monitoramento sistemático das propriedades rurais, o acompanhamento das atividades da ATER (Agência de Extensão Rural) e a geração de dados para planejamento, avaliação e formulação de políticas públicas voltadas para a agricultura familiar."
Registro de Agricultura Familiar Individual - RAFI,Paraguai,Não,Plataforma Deag, Gerenciamento,Antes ,"Gestão institucional do registo, monitorização e cadastro do ATER",Site,Não aplicável,Extensionista,Em geral,Não aplicável,Extensionista ↔ Conteúdo/Plataforma,Público,Ministério / Governo Federal,Espanhol,Não,Sim,Digitação,Uso interno (institucional), deag.mag.gov.py,"Permite o cadastro de produtores rurais individuais, a coleta de informações socioeconômicas, produtivas e geográficas, e o monitoramento de ações de assistência técnica e extensão rural, apoiando o planejamento e a elaboração de políticas públicas."
Estações meteorológicas,Paraguai,Não,Plataforma Deag,Orientação Técnica,Durante,"Meteorologia, Clima e Irrigação",Site,Não aplicável,Produtor,Em geral,Gratuito,Extensionista ↔ Conteúdo/Plataforma,Público,Ministério / Governo Federal,Espanhol,Não,Sim,Digitalização,Acessível a terceiros,https://deag.mag.gov.py/estaciones.html,"Plataforma digital de monitoramento meteorológico que coleta dados em tempo real de estações meteorológicas distribuídas por todo o território, apresentando informações como temperatura, precipitação, vento e previsão do tempo."
Treinamento,Paraguai,Não,Plataforma Deag,Aprendizado,Durante,"Conteúdo, Educação e Redes Sociais",Site,Não aplicável,Extensionista,Em geral,Não aplicável,Extensionista ↔ Conteúdo/Plataforma,Público,Ministério / Governo Federal,Espanhol,Não,Sim,Digitalização,Acessível a terceiros, deag.mag.gov.py,"Oferece cursos e conteúdo de treinamento, incluindo opções online, voltados para técnicos de extensão rural e produtores de agricultura familiar."
Agrobuque,Paraguai,Sim,FECOPROD,Orientação Técnica,Durante,"Análise de Solo e Plantas
Fertilizantes, Inoculantes e Nutrientes
Agricultura de Precisão e Otimização de Insumos",Site,Meios de comunicação de massa,Ambos,Em geral,Não aplicável,Produtor ↔ Conteúdo/Plataforma,Público,Cooperativa,Espanhol,Não,Sim,Digitalização,Uso interno (institucional),agrobuch,"Uma plataforma digital que integra informações técnicas, dados geográficos e ferramentas de agricultura de precisão para apoiar a tomada de decisões no campo. A ferramenta permite o monitoramento de parcelas agrícolas, análise de solo e fertilidade, rastreamento da produção, geoprocessamento e suporte a práticas de produção sustentáveis, funcionando como um ""diário de bordo digital"" para a gestão técnica e ambiental da propriedade."
Campo grande,Paraguai,Sim,FECOPROD, Gerenciamento,Durante,Monitoramento e gerenciamento integrados da produção,Site + Aplicativo,Meios de comunicação de massa,Produtor,Em geral,Não aplicável,Produtor ↔ Conteúdo/Plataforma,Sociedade Civil Organizada,Cooperativa,Espanhol,Não,Sim,Digitalização,Uso interno (institucional),https://bigcampo.fecoprod.com.py/publico,"Gestão do estabelecimento agrícola: pecuária, laticínios e cultivo de lavouras."
TRAZAPPY,Paraguai,Sim,FECOPROD,Comercialização,Durante,Monitoramento e gerenciamento integrados da produção,Site + Aplicativo,Meios de comunicação de massa,Produtor,Específico (leite),Não aplicável,Produtor ↔ Conteúdo/Plataforma,Sociedade Civil Organizada,Cooperativa,Espanhol,Sim,Não,Digitalização,Uso interno (institucional),https://trazappy.fecoprod.com.py/web/home,Sistema de Rastreabilidade de Produtos Agrícolas
FECOCLIMA,Paraguai,Não,FECOPROD,Orientação Técnica,Durante,"Meteorologia, Clima e Irrigação",Site,Meios de comunicação de massa,Produtor,Em geral,Não aplicável,Produtor ↔ Conteúdo/Plataforma,Sociedade Civil Organizada,Cooperativa,Espanhol,Não,Sim,Digitalização,Uso interno (institucional),https://fecoclima.fecoprod.com.py/clima/#/climaActual,"Rede de Estações Agrometeorológicas: temperatura, precipitação, umidade, pressão, fenologia das culturas"
Siscole Smart,Paraguai,Sim,FECOPROD,Orientação Técnica,Durante,Monitoramento e gerenciamento integrados da produção,Aplicativo ,Meios de comunicação de massa,Produtor,Específico (leite),Não aplicável,Produtor ↔ Conteúdo/Plataforma,Sociedade Civil Organizada,Cooperativa,Espanhol,Não,Sim,Digitalização,Uso interno (institucional),https://ti.fecoprod.com.py/siscole/Account/Login?ReturnUrl=%2fsiscole,"Aplicativo para smartphone onde o produtor pode verificar o status de sua fazenda leiteira, seus animais, o cronograma de partos e secagem, e os resultados das análises de qualidade."
INIA Mobile - Caracterização climática para culturas,Uruguai,Sim,ÍNDIA,Orientação Técnica,Durante,"Meteorologia, Clima e Irrigação",Site + Aplicativo,Meios de comunicação de massa,Produtor,"Específico (trigo-cevada, colza, soja e milho)",Gratuito,Produtor ↔ Conteúdo/Plataforma,Público,Empresa de Pesquisa Pública,Espanhol,Não,Sim,Digitação,Acessível a terceiros,https://www.inia.uy/caracterizacion-climatica-para-cultivos,"Os relatórios contidos nesta seção constituem uma caracterização climática de cada estação agrícola para as principais culturas de inverno (trigo-cevada, colza) e de verão (soja, milho)."
INIA mobile - OptiMix,Uruguai,Não,ÍNDIA,Orientação Técnica,Durante,Agricultura de Precisão e Otimização de Insumos,Site + Aplicativo,Meios de comunicação de massa,Produtor,Específico (forragem),Gratuito,Produtor ↔ Conteúdo/Plataforma,Público,Empresa de Pesquisa Pública,Espanhol,Não,Sim,Digitalização,Acessível a terceiros,https://www.inia.uy/optimix-herramienta-para-definir-especies-en-mezclas-forrajeras,Ferramenta para definição de espécies em misturas forrageiras
"INIA Mobile - Modelo fenológico para estimar o florescimento em trigo, cevada e milho.",Uruguai,Sim,ÍNDIA,Orientação Técnica,Durante,"Conteúdo, Educação e Redes Sociais",Painéis de monitoramento (Dashboards),Meios de comunicação de massa,Extensionista,"Específico (milho, trigo e cevada)",Gratuito,Extensionista ↔ Conteúdo/Plataforma,Público,Empresa de Pesquisa Pública,Espanhol,Não,Sim,Digitalização,Acessível a terceiros,https://www.inia.uy/modelo-fenologico-para-estimacion-de-floracion-en-trigo-cebada-y-maiz,"Permite calcular a data de floração, de acordo com a localização, o tempo de germinação e a variedade escolhida, para trigo, cevada e milho."
INIA mobile – Alerta de Ovelhas,Uruguai,Sim,ÍNDIA,Orientação Técnica,Antes ,Nutrição e Saúde Animal, Aplicativo,Meios de comunicação de massa,Produtor,Específico (ovelha),Gratuito,Produtor ↔ Conteúdo/Plataforma,Público,Empresa de Pesquisa Pública,Espanhol,Não,Sim,Digitalização,Acessível a terceiros,https://www.inia.uy/alertaovina,"A ferramenta combina tecnologia e conhecimento local, ajudando a proteger a produção ovina. Ela fornece informações para melhorar as taxas de sobrevivência dos cordeiros ao nascer, antecipando condições climáticas adversas."
